DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Austin Hartenfels","27433","US","Carolina",694,83,6,7,125,316,34705,4555,2.96,"B 2.42",5607,1687,5081,86484
"Christian Steele","153763","US","California Club",762,135,6,7,80,350,38496,8796,1.88,"A 4.99",5603,1170,5463,60854
"David L Brown","82924","US","Georgia",834,115,7,8,119,338,34821,5585,3.67,"A 2.89",5596,1514,5922,99139
"Joshua Campbell","94514","US","Pennsylvania",1008,73,6,9,95,297,96916,8466,2.73,"A 4.99",5585,1350,5123,96063
"Brian Ammerman","72096","US","Illinois",1251,206,6,8,100,578,89142,16678,3.16,"A 4.54",5583,1498,9115,125061
"Eric J. Smith","160763","US","Illinois",1165,171,7,8,100,461,49597,9179,4.09,"A 4.39",5580,1282,7444,116068
"Stephen Moore","29326","US","California Club",883,132,7,6,101,359,41590,5435,2.33,"A 3.10",5576,1409,5102,88886
"Will Cooley","191057","US","Carolina",472,14,9,11,90,126,32171,1530,3.66,"P 4.47",5564,1198,1811,42456
"Tyler Armstrong","21209","US","Georgia",560,95,6,7,110,268,35531,6282,2.62,"A 4.99",5548,1687,3693,61442
"Malik Ray","62419","US","Carolina",4040,1109,7,7,131,2277,186033,47283,2.91,"A 3.70",5545,1566,34877,530442
"Lionel Calisto","31605","US","California Club",1130,134,10,8,105,486,71763,7730,3.8,"A 3.73",5544,1303,7834,119146
"Chandler Krizek","130580","US","West",1133,107,8,11,101,388,81844,9743,4.47,"P 4.74",5541,1251,5789,114967
"Jean Bapt Charles","45702","FR","France",471,34,9,8,99,161,30874,1371,3.53,"A 4.40",5539,1748,2350,46647
"Dustin Adams","96234","US","Carolina",412,64,6,7,64,161,14207,2701,4.26,"B 3.70",5528,1360,781,26422
"Tyler Ducharme","124109","US","New England",597,86,8,8,104,252,32815,3433,4.25,"A 2.49",5526,1167,3533,61996
"Joe Letteriello","79479","US","Pennsylvania",507,54,9,9,95,154,22653,3038,3.85,"P 2.53",5524,1398,2037,48377
"Justin Fuller","18340","US","New York",3578,933,5,6,125,2003,150477,41268,3.77,"B 2.60",5520,1562,25897,448843
"Ethan Lane","87660","US","Carolina",3257,1006,5,7,107,1816,142295,50194,2.81,"A 3.47",5518,1353,26338,349199
"Kris Kelley","135859","US","Virginias",365,65,6,8,101,153,21120,3533,2.83,"A 4.56",5511,1822,1944,36971
"Rob Ackley","15999","US","New York",1143,182,8,7,124,543,82837,9932,1.96,"A 4.68",5509,1701,8052,141476
"Sascha Wesler","70162","DE","DE-AT-CH",402,42,7,10,108,149,35813,4786,2.77,"A 4.14",5508,1894,2019,43427
"Marco Aurelio Brasil","147741","BR","Brazil",1113,196,4,7,84,538,61859,16420,1.91,"A 4.99",5505,1268,8440,93738
"John Reed","108548","US","West",162,49,4,5,131,115,8377,2531,1.32,"A 4.99",5504,1369,1953,21202
"Trent Ringler","92351","US","Indiana",1740,345,5,8,110,846,120561,29562,2.59,"A 4.53",5502,1780,14261,191950
"Mason White","111185","US","Carolina",426,79,6,6,101,204,21761,3969,2.45,"A 4.95",5501,1185,2224,42817
"Dwayne Vincent","52691","US","Mid-South",2613,344,7,8,122,1261,208340,24485,2.47,"A 4.82",5496,1626,19094,319532
"Darrel Wilson","134263","US","Carolina",70,43,4,3,164,59,3469,2085,2.03,"A 4.52",5489,1362,803,11450
"Jordan Westfall","49740","CA","Canada",710,169,7,7,118,398,51265,11173,2.72,"A 4.77",5485,1797,5844,83619
"Kyle McCormick","90580","US","Carolina",1090,197,9,8,116,510,72374,10598,2.84,"A 4.53",5484,1703,8264,126668
"Jake Hayes","126604","US","Georgia",995,88,10,9,109,334,72114,5886,4.13,"A 3.49",5482,1274,5189,108884
"Dirk A Kalinowski","60867","DE","DE-AT-CH",251,85,2,5,99,161,19415,9053,1.71,"A 4.99",5477,2129,2308,24780
"Adam Benefiel","132004","US","Mid-South",823,104,9,10,116,353,58749,8048,3.07,"A 4.81",5475,1170,4196,95544
"Jeremy Adams2","180671","US","Mid-South",237,117,3,3,94,170,8049,4250,2.59,"B 4.98",5473,1265,727,22342
"Matthew Davis","42332","US","Mid-South",797,52,10,9,88,213,49473,2927,2.17,"A 4.98",5472,1645,4023,70154
"Kevin J Myers","37062","US","Ohio",1552,424,5,5,106,892,78131,22534,2.61,"A 2.04",5471,1471,8882,164755
"Ashley Miller","35248","US","Carolina",763,153,7,8,131,345,52763,11500,2.58,"A 2.54",5466,1457,4198,99579
"Brandon Buie2","117631","US","Atlantic",195,47,8,5,147,129,11160,2240,1.91,"A 4.67",5465,1335,1957,28661
"Galen Gidman","111824","US","Great Plains",759,60,8,9,88,227,44625,3436,4.28,"A 4.59",5460,1347,3797,66829
"Brandon Traino","38722","US","Carolina",428,81,6,7,107,189,26269,7469,2.91,"A 4.82",5458,1368,2351,45671
"Dylan Houser4","268611","US","Florida",644,162,5,5,91,298,18443,5292,3.78,"A 2.06",5455,1441,3096,58702
"Joshua Hanner","91358","US","Great Plains",1713,206,6,8,100,719,104218,13529,2.28,"A 4.88",5454,1768,10084,171151
"Damon Burnette","101947","US","Carolina",1353,111,9,9,88,482,60440,5508,3.03,"A 3.42",5452,1318,7662,119598
"Aleksi Elomaa","26256","FI","Finland",1162,255,8,6,123,656,67873,11056,2.57,"A 4.99",5449,1599,8796,143067
"Justin Laxton","118255","US","Midwest",610,115,7,6,84,290,23900,3707,2.39,"A 4.31",5447,1334,3411,51294
"Seymour Charles","35655","US","New England",257,103,3,4,99,151,12686,6240,1.63,"A 4.99",5446,1689,1288,25464
"Marco Aurelio Brasil2","248381","BR","Brazil",313,88,3,5,113,212,19475,6593,1.23,"A 4.99",5443,1225,2517,35402
"Pierre Verne","123719","FR","France",902,100,7,7,100,403,36905,3848,2.49,"A 4.99",5442,1350,6252,90047
"Brad Newman","50535","US","Carolina",1125,148,8,8,83,353,69459,8473,3.95,"B 3.52",5438,1270,4741,93531
"Paul Kusheba","33628","US","New England",2670,1156,6,5,134,1764,133157,47370,2.66,"B 2.68",5438,1372,15766,357087
"Keith Mac","35671","CA","Canada",1007,124,6,7,74,343,39867,6229,2.87,"A 4.74",5437,1362,3030,74982
"Richard Towler","16251","GB","UK and I",270,93,8,7,145,176,24267,8054,3.08,"A 3.56",5434,1779,2038,39185
"Cam Stark","129990","GB","UK and I",321,88,4,6,84,187,13506,4991,2.12,"A 4.99",5433,1228,2996,27054
"Richard Luckey","60977","US","Ohio",289,79,5,6,93,149,14851,3110,1.73,"A 4.75",5430,1696,1550,26927
"Benjamin Nelson2","151476","US","Carolina",232,36,6,8,111,106,13723,2122,2.62,"A 4.68",5428,1255,1380,25653
"Miroslav Juříček","92665","CZ","Central-Eastern Europe",389,171,2,4,79,237,14161,7867,2.77,"D 4.99",5414,1278,33,30582
"Josh Jones","30808","US","Mid-South",819,107,8,8,107,333,56885,5188,2.84,"A 4.84",5408,1384,5233,87525
"Matt Campbell","35172","US","Carolina",528,103,4,6,67,212,22606,5696,2.89,"A 4.34",5404,1491,2581,35271
"Steven Renaud","269527","CA","Canada",586,77,5,5,110,262,13113,1858,2.69,"A 1.70",5403,1350,2893,64442
"Kevin Swindell","17651","US","Carolina",314,63,7,6,106,137,11548,2072,3.11,"A 2.45",5399,1303,1516,33350
"Zach Thomas","180977","CA","Canada",170,43,6,6,94,89,5114,1265,3.87,"A 4.99",5399,1306,1022,16048
"Benjamin Truflandier","22851","FR","France",2042,394,4,7,108,1049,101776,21254,2.4,"A 4.41",5399,1334,17205,220131
"Chris L. Roberts","207306","US","Mid-South",256,98,4,4,104,170,11828,4475,1.52,"A 4.99",5397,1288,2368,26671
"Jake Brooks","84367","US","Carolina",184,52,5,5,93,96,7425,1357,3.76,"A 3.58",5396,1394,1334,17199
"Bart Hector Jr","80659","US","Northwest",1204,423,3,4,99,718,49965,20527,1.7,"A 4.58",5394,1398,5763,118860
"Logan Sheets","31796","US","Northwest",584,138,4,6,115,300,25270,5378,2.06,"A 4.10",5392,1787,1501,66900
"Adam Dock","26052","US","Texas",707,99,6,7,99,334,36714,4968,2.18,"A 4.99",5392,1417,5529,69916
"Michael Sellers","111098","US","California Club",356,65,6,6,73,144,8409,1948,3.06,"A 3.35",5379,1398,1411,26084
"Chuck Sweeting","111941","US","Florida",1451,72,8,10,110,423,135102,8214,2.95,"A 4.99",5375,1370,6765,159853
"Justin G Brooks","67199","US","Carolina",167,64,2,5,130,109,7321,3513,2.62,"B 2.35",5374,1421,1107,21755
"Bobby Cheney","92510","US","Ohio",538,24,11,9,87,148,29659,702,2.16,"A 4.99",5370,1385,2016,46977
"Joshua Hahn","27099","US","Michigan",308,87,4,5,111,183,20813,5254,1.76,"A 4.99",5360,1671,2002,34049
"James Frizzell","125451","US","Florida",417,32,8,9,102,151,31484,2150,2.68,"A 4.59",5358,1579,1869,42718
"Joe Holt","30327","US","Mid-South",1518,183,6,7,106,628,112984,16614,3.48,"A 4.24",5358,1554,10119,160712
"Jeremy Lukaszka","87850","US","Midwest",724,201,3,7,142,456,38248,11766,2.3,"A 3.83",5356,1679,7152,102816
"Jason Lofing","28188","US","California Club",229,54,5,6,127,123,13282,2952,2.42,"A 3.30",5353,1740,1707,29175
"Elmar Erlekotte","30068","DE","DE-AT-CH",290,88,3,4,107,165,13620,4396,2.26,"A 3.49",5348,1733,1584,31125
"Josh Connors","16205","US","Indiana",463,51,8,9,113,190,32629,3958,2.33,"A 4.99",5346,1478,2575,52541
"Sean Robbins","93261","US","Carolina",574,176,8,6,141,372,31465,7863,3.07,"A 2.36",5341,1570,5955,80769
"Chance Crum","66296","US","Northwest",556,72,6,7,63,174,23375,3265,3.87,"A 1.53",5339,1293,2086,35249
"Richie Hornsby","56694","US","Atlantic",531,148,4,5,105,284,20085,6626,1.63,"B 4.17",5336,1363,1512,55668
"Richard Smith5","43863","US","Texas",332,97,3,4,120,204,19502,6260,1.52,"A 4.05",5331,1830,2004,39920
"Andy Lischynski","69702","US","West",138,52,5,5,116,86,5209,1189,1.93,"A 3.85",5327,1351,639,16037
"Zach Leonhardi","83087","US","Georgia",1304,146,8,8,86,459,50032,5506,3.18,"B 2.51",5324,1274,5821,112339
"Dominic Krischke","40844","US","Florida",1127,126,8,8,87,311,74908,9749,2.08,"A 4.65",5324,2167,5341,97496
"Roger Northrop Jr","36686","US","Michigan",1399,358,4,4,110,809,54755,12983,1.36,"B 4.71",5321,1258,22,153284
"Jeremy Adams","170483","US","Mid-South",890,300,3,5,88,516,38380,15735,2.5,"B 4.74",5320,1393,4927,78236
"Ted Liette","271556","US","Ohio",321,77,4,5,110,171,7918,1912,1.94,"A 2.84",5314,1341,1827,35172
"Josh Dietz","56152","US","Mid-South",742,174,6,6,108,381,33536,8020,4.4,"B 2.64",5309,1391,4269,79857
"Graham J Bunyan","186482","AU","Australia/NZ",592,208,4,5,102,395,28880,10813,1.05,"A 4.94",5297,1279,5045,60299
"Shelvin johnson","48722","US","Carolina",581,73,5,8,96,253,37069,7340,3.02,"A 4.27",5294,1268,4176,55504
"Daltyn S. England","42058","US","Illinois",3074,507,7,8,85,1181,128940,21292,3.01,"A 2.99",5291,1336,12212,259791
"EJ ORourke","51708","US","New England",2369,237,5,8,116,949,133596,16554,3.35,"A 2.10",5290,1517,16343,274465
"Chad Pruitt","29928","US","Mid-South",1612,412,6,6,113,928,134755,38684,2.95,"A 3.83",5289,1542,12943,182407
"Todd Garren","50028","US","Carolina",1052,134,8,8,109,385,73645,7925,2.76,"A 3.40",5289,1398,5085,114547
"Bobby Sandt Jr","35068","US","Pennsylvania",918,370,4,4,110,561,46389,21844,1.51,"A 3.70",5284,2467,4840,100989
"Danton Dressler","69561","US","Pennsylvania",573,74,7,7,100,241,28432,3741,3.41,"A 4.55",5283,1367,3666,57019
"Chris Main","16538","US","Atlantic",536,81,8,8,124,265,42733,5696,3.8,"A 3.45",5283,1498,3287,66542
"Stefan Marinak","68351","US","Florida",702,61,9,8,87,210,33626,2234,3.04,"A 4.74",5280,1318,2273,60943
"Ryder Smith2","205924","US","Carolina",363,81,5,8,123,186,19301,5054,3.73,"A 4.79",5278,1471,3023,44704
"Greg Wellen","36624","US","California Club",365,103,4,6,113,207,20807,6009,1.85,"A 4.51",5278,1534,3021,41226
"Gregory McDougal II","95867","US","Carolina",232,52,5,6,108,125,16216,3674,1.59,"A 4.99",5276,1408,1653,24942
"Kyle Brummett","105047","US","Mid-South",1017,145,7,8,99,419,59212,8024,3.6,"A 4.98",5275,958,6202,101059
"Matt Kocher","109076","US","Pennsylvania",2669,591,8,7,114,1410,112046,20138,2.77,"A 2.43",5273,1366,19303,304212
"Anderson Paes","36205","BR","Brazil",380,61,4,8,105,156,23208,4904,3.41,"A 4.47",5271,1368,2707,39817
"Jeff Hollingsworth","28756","US","Carolina",1138,42,10,10,109,323,102099,3349,3.44,"A 4.72",5270,1564,5765,124428
"Zac Campbell","142748","US","Georgia",464,45,7,8,82,156,15507,2024,3.43,"A 4.39",5267,1213,2370,38265
"Joe Slama","30715","US","California Club",536,60,7,8,117,212,41628,6542,2,"A 4.72",5266,1625,4096,62448
"Justin Knoblock","71338","US","California Club",524,76,7,7,95,199,20114,2845,3.09,"B 2.63",5260,1135,2751,49951
"Brian Tedeschi","38766","US","Illinois",1042,82,7,7,94,368,46917,4236,3.19,"C 2.49",5258,1288,4270,98369
"Jarrid Boiros","53354","US","New England",256,84,4,4,115,157,12631,4725,1.07,"A 4.99",5258,1874,1180,29373
"Michael Guariglia","143851","US","Carolina",1598,109,9,9,99,509,66656,5084,2.72,"A 3.49",5254,1323,9117,158815
"Jim Shedlick","16600","US","Carolina",171,43,3,5,124,101,9932,2234,1.38,"A 4.90",5253,1542,1198,21266
"Travis Townsend","55675","US","Virginias",176,24,6,6,98,83,8239,1436,1.88,"A 4.99",5253,1671,1106,17310
"Randall Faulks","73789","US","Carolina",698,93,8,9,105,288,44747,6543,2.78,"A 4.34",5251,1333,5038,72991
"David Hutto","30576","US","Carolina",165,60,4,5,109,81,9568,3478,1.66,"A 3.90",5251,1065,839,17941
"Joe Ahlin","28242","US","West",298,44,6,6,79,91,11962,1893,2.45,"A 3.25",5250,871,1127,23440
"Brandon Hauff","74397","US","New York",2021,183,7,8,105,680,101977,8704,3.83,"A 2.62",5248,1314,9394,211814
"Joe Annunziata","42745","US","Carolina",463,17,12,9,107,125,36766,1009,3.06,"A 4.99",5243,1320,2590,49348
"Jesse Atchison","17273","US","Atlantic",1669,373,5,6,153,998,101805,26702,2.28,"A 3.22",5240,2240,14580,255928
"Adam DeBlasio","175790","US","New England",459,17,10,10,106,153,33049,873,3.86,"A 4.40",5234,1223,2525,48619
"Lewis Hewett","272849","AU","Australia/NZ",980,240,4,4,95,496,24243,6772,2.06,"A 2.42",5231,1332,4903,92623
"Kenneth Smith3","73813","US","Carolina",407,107,4,5,98,233,20560,6161,1.91,"A 3.80",5227,1441,2249,39786
"Matt McCormick","58617","US","New Jersey",2169,403,5,6,86,902,80498,17498,3.4,"B 2.46",5224,1325,7317,185560
"Jeremy B Davis","31096","US","California Club",2830,432,6,8,84,1074,134843,26490,4.49,"A 3.50",5221,1322,16634,237421
"Joe Quinn","25657","US","Ohio",823,156,6,6,120,440,51127,9492,2.08,"A 4.70",5220,1775,5938,98612
"Michael Laraia","142244","US","New England",504,124,5,6,109,289,25362,5916,2.08,"A 4.99",5218,1460,3515,54760
"Brandon McKissic","155278","US","Florida",2682,247,7,9,99,927,117305,9875,5.28,"A 3.23",5213,1252,13420,264825
"Ryan Norton","61211","US","Indiana",476,117,5,6,106,256,31907,9040,2.73,"A 4.74",5211,1814,3991,50574
"Cameron Rich","26656","US","Virginias",262,47,5,6,104,149,13638,3171,2.4,"A 4.99",5211,1449,2179,27338
"Shaun Stroud","28799","GB","UK and I",407,108,5,6,103,214,25613,8039,2.38,"A 4.31",5210,1717,3334,42116
"Carl Shedd","128496","US","Texas",1003,112,7,8,86,367,43595,5953,2.24,"A 4.06",5209,1284,5973,86385
"Chris D Miller","35795","US","Carolina",381,64,10,8,114,157,27326,3823,2.93,"A 4.36",5208,1631,2365,43497
"Adriano Pinheiroo","97413","BR","Brazil",377,133,3,5,123,258,19392,7677,1.3,"A 3.40",5207,1389,3840,46367
"Michael Main","26551","US","Virginias",1427,280,7,6,125,737,88615,15482,3.37,"A 3.75",5204,1291,11353,177886
"Johnnie Gandy Jr","20381","US","Virginias",416,104,4,4,103,190,19631,4549,3.49,"A 4.39",5202,1841,1681,42927
"John Merritt","38808","AU","Australia/NZ",227,96,3,3,109,148,8923,3994,1.83,"B 4.45",5202,1397,0,24662
"Ian Naquin","187815","US","Mid-South",692,61,10,11,96,234,45920,4965,3.6,"A 4.65",5201,1524,3191,66739
"Scott Speed","15488","US","Massachusetts",262,88,4,6,128,165,12378,4781,1.73,"A 4.06",5199,1366,1680,33558
"Gustavo Cavalcanti","175210","BR","Brazil",674,144,5,7,99,375,33056,8485,1.86,"A 4.49",5198,1273,5033,66781
"Evan Sorensen","156519","CA","Canada",868,97,8,8,80,318,33475,3929,3.66,"A 2.68",5198,1274,3626,69331
"Sahil Mustac","89985","GB","UK and I",470,38,7,9,91,159,24410,1704,2.97,"A 4.99",5195,1366,2208,42839
"Yang Ou","36214","DK","Scandinavia",86,50,2,3,123,66,6505,4464,1.83,"A 4.99",5193,1423,670,10588
"Darrin Stevens","15127","US","New England",324,138,5,6,154,220,24286,8920,1.52,"A 3.38",5192,1912,2026,49801
"Daniel Wilborn2","264084","US","Virginias",200,57,4,5,104,139,10032,3230,1.56,"A 4.99",5186,1350,2001,20700
"Matthew Moose","29610","US","New York",1364,240,7,7,121,685,120770,20808,2.18,"A 4.60",5186,1649,10063,165434
"Brandon Six","29779","US","Pennsylvania",1192,131,9,9,116,462,81016,10923,4.22,"A 2.44",5183,1573,8114,138172
"Dion Vergers","16463","NL","Benelux",156,57,5,6,136,96,10461,2361,2.3,"A 4.07",5182,1553,715,21214
"Ashton Crowder","90451","US","Carolina",236,53,7,7,80,107,7786,1849,2.49,"A 4.35",5182,1177,1380,18916
"Andrew Berger","45934","US","Pennsylvania",361,35,5,7,111,146,25585,2871,2.65,"A 3.62",5180,1960,2389,40064
"Bob King","271057","AU","Australia/NZ",453,104,4,4,91,231,10462,2715,2.18,"A 2.41",5177,1274,2298,41060
"Femi Olat","150376","US","New England",550,60,9,9,105,216,21570,2044,3.28,"A 2.92",5173,1269,3763,57641
"Chris Nosowsky","113943","US","Michigan",804,95,7,8,90,278,30006,4487,3.53,"A 3.84",5173,1303,3833,72334
"Colton Landes","142811","US","Virginias",601,35,10,11,93,192,39905,3505,4.13,"A 4.99",5172,1356,2369,56058
"Randy Hockaday","16900","US","West",897,265,3,7,131,503,49410,16881,2.64,"A 3.15",5171,1716,8075,117824
"Josh Michelmore","200172","AU","Australia/NZ",397,25,7,9,106,132,29537,1947,3.26,"A 4.34",5165,1164,1953,42268
"Billy Price","32177","US","Carolina",323,27,9,11,138,132,28356,2547,3.1,"A 2.83",5164,1974,2408,44703
"Juan E Lopez","140004","US","New York",127,33,5,5,117,64,4025,1089,3.55,"C 2.67",5162,1277,767,14867
"Shawn Colley","41921","US","Ohio",152,63,4,4,98,93,8940,3829,1.62,"A 4.99",5160,1459,931,14919
"Jameson Spies","24960","US","California Club",582,174,4,6,118,315,31679,10543,2.24,"A 2.68",5159,1691,3431,68584
"Mike Skinner","17698","US","Great Plains",395,35,5,8,111,151,34712,3979,3.3,"A 4.99",5157,1896,2314,43656
"Arrey Ati","90394","US","Georgia",955,78,8,10,111,374,62583,5082,3.07,"A 4.52",5153,1596,6242,105576
"Landon Huffman","48985","US","Carolina",772,82,8,8,91,288,47692,5131,3.43,"A 3.18",5152,1448,3762,70259
"Richard Hollyday","113258","US","Carolina",1060,211,6,7,103,543,49192,9345,2.82,"A 4.44",5150,1343,5385,108950
"James Avalos","65453","US","Virginias",593,53,4,9,96,217,33607,3797,2.77,"A 4.89",5148,1635,4319,56912
"Travis Schaefer","117289","US","Midwest",693,74,12,10,104,236,68704,5884,3.24,"A 4.06",5147,1411,2972,71769
"Bryan Saxe","147735","US","Midwest",295,206,3,4,81,240,10559,8361,2.17,"B 4.47",5141,1350,110,24018
"Robin Williams","15601","US","Virginias",544,55,9,9,133,224,53411,4281,2.51,"A 4.47",5139,1686,3756,72247
"Brandon Pipgrass","121248","US","Mid-South",1343,87,8,9,86,398,64576,5035,3.49,"A 2.57",5138,1203,7019,115669
"Jason Yott","29304","US","Carolina",838,52,8,9,107,233,52543,3266,2.7,"A 4.31",5136,1933,4941,89649
"Shane Walters","39542","US","Great Plains",850,233,6,5,116,509,62855,14969,2.74,"A 3.60",5134,1461,7347,98270
"Paul R Williams","57421","US","Illinois",341,52,6,7,99,167,19606,3889,1.96,"A 4.99",5132,1329,2346,33699
"Brandon M. Thrasher","26661","US","Mid-South",2050,306,6,8,102,946,94770,18413,3.17,"B 1.04",5131,1285,11316,208968
"Brian McCann","42943","US","Carolina",433,34,8,7,112,172,26671,1878,2.58,"A 4.99",5131,1202,2685,48296
"Victor Del Porto","90796","BR","Brazil",475,95,5,6,98,258,22587,5014,1.72,"A 4.99",5128,1362,4051,46458
"Jonathan Dalrymple","185431","US","Ohio",439,77,5,6,84,200,24761,6173,2.21,"A 4.93",5126,1342,3157,36957
"Tyler Groff","81813","US","Pennsylvania",904,84,11,9,98,323,55156,5006,3.5,"A 4.41",5122,1336,5053,88169
"Gary Smith2","20016","CA","Canada",544,214,3,4,120,345,24044,9431,1.74,"A 3.58",5114,1893,2759,65177
"Brandon Williamson","27063","US","Georgia",690,151,8,7,115,318,31891,5513,2.42,"A 3.25",5112,1325,3649,79285
"Austin Johnson","71228","US","California Club",406,59,5,7,95,182,26228,4917,2.76,"A 3.13",5111,1321,2593,38608
"Richard Webster","22192","AU","Australia/NZ",443,138,3,4,112,277,42065,14802,2.07,"A 4.63",5109,1780,2737,49635
"Robert Hall","23170","US","Georgia",776,144,10,9,127,382,63379,9567,2.19,"A 4.91",5108,1314,6058,98588
"Salvatore Lombardo","23506","US","Indiana",121,63,2,4,109,84,7959,4941,2.06,"A 4.99",5108,2534,1118,13200
"Luke McLean","18209","AU","Australia/NZ",261,105,3,5,129,171,15628,6160,3.21,"A 2.83",5106,1839,1424,33660
"Jared Duda","178233","US","Midwest",394,78,4,6,85,198,15592,3716,5.19,"C 2.79",5106,1288,2092,33314
"Del Mears","17157","US","Mid-South",548,104,7,7,114,257,46530,8408,4.2,"A 4.49",5106,1528,3994,62277
"JAY BEASLEY","31301","US","West",1789,372,6,7,102,813,65473,16538,2.88,"A 2.26",5105,1317,9804,183366
"Jacob Linkiewicz","134857","US","Illinois",339,55,5,5,94,170,16260,2790,3.45,"A 2.12",5104,1358,1736,31853
"Tony Repussard","37921","FR","France",869,89,8,8,121,376,38551,3470,3.02,"A 4.48",5096,1293,6413,104875
"Nick Furler","113004","CA","Canada",1185,222,7,8,101,538,76274,19723,2.5,"A 4.72",5091,1388,7083,120127
"Eric Brundies","68053","US","Midwest",250,42,5,6,114,128,16968,2676,2.06,"A 4.78",5090,1350,1792,28480
"Brandon Wilkinson","52934","US","New England",2566,264,8,8,60,693,95942,11327,4.27,"B 3.68",5087,810,7905,153739
"Austin Espitee","80719","US","New England",1434,167,7,9,60,494,56214,9737,3.7,"A 4.99",5087,1204,7729,86040
"Corey A Wolf","22569","US","New York",750,70,9,8,107,272,54011,3885,2.88,"A 4.99",5085,1588,4688,80486
"Travis Sollenberger","30983","US","Pennsylvania",683,73,8,8,87,205,37094,4077,3.06,"A 4.91",5084,1925,3280,59532
"Michael Fulcher","55067","AU","Australia/NZ",263,83,3,4,90,146,7571,1994,1.41,"A 3.66",5084,1328,1197,23595
"Andy Shuck","32919","US","Indiana",402,69,5,6,78,161,20063,4102,2.13,"A 4.41",5084,1682,1772,31320
"Bryce Fauntleroy","26259","US","Mid-South",629,112,5,8,96,260,23119,5192,2.83,"A 3.95",5084,1559,2563,60119
"Jeff Ramsdell","45220","US","Georgia",1870,163,9,8,75,561,96517,8072,3.77,"A 3.26",5081,1500,8348,140509
"Andre Castro","83741","US","New York",1021,224,5,7,124,540,41247,11030,3.48,"B 2.79",5076,1350,8623,126448
"Keith Plaza","66403","US","Carolina",636,78,10,7,113,272,28366,2770,3.77,"C 2.39",5070,1217,4474,72100
"Jason Brown2","25716","US","Pennsylvania",265,44,6,6,104,107,14822,2004,1.85,"A 3.10",5069,1489,1181,27520
"Phil Juhring","77364","US","New Jersey",639,129,6,7,116,344,44490,8589,2.34,"A 4.56",5066,1447,5283,73897
"Pedro Mega","42808","US","New Jersey",1300,90,11,10,93,377,65443,5405,4.16,"B 2.46",5064,1526,7152,121180
"Seth Whitaker","103867","US","New York",675,20,10,10,82,174,47775,1139,4.14,"A 4.50",5062,1431,2356,55574
"Brandon Holder","30754","US","Mid-South",3361,366,7,8,77,1136,169720,23939,3.29,"A 4.07",5057,1424,18931,260301
"Roland Ehnström","50060","SE","Scandinavia",102,22,4,7,127,58,8605,2311,2.15,"A 3.63",5056,1838,685,12998
"Trevor Edwards2","246137","US","Mid-South",193,62,7,6,105,110,10526,3167,2.63,"A 4.66",5056,1293,1560,20308
"Henrik Carlsson","29891","SE","Scandinavia",312,80,5,6,106,173,24051,6402,2.46,"A 4.99",5053,1482,2001,33036
"Dalton Tucker","71360","US","Georgia",580,66,7,7,81,196,23542,2683,3.83,"A 3.60",5049,1416,2928,46903
"Logan Clampitt2","205024","US","California Club",164,84,4,3,113,130,5710,2810,1.77,"C 3.43",5047,1286,1116,18506
"Davey Scovel","50483","US","California Club",321,44,10,7,87,110,10097,1171,3.25,"A 2.30",5040,1298,1494,27911
"David Bodio2","270587","US","New England",171,64,3,4,106,105,4902,1988,2.51,"A 3.53",5040,1335,967,18123
"Cyril Nousbaum","46099","FR","France",562,185,5,6,122,360,37211,11950,2.17,"A 3.42",5038,2324,4734,68292
"Jean Costa","17989","US","New Jersey",493,80,6,8,115,198,37686,4757,3.41,"A 3.37",5035,997,2776,56863
"Robbie Johnston","43737","US","Mid-South",323,46,6,6,66,113,12005,1959,2.4,"A 4.50",5033,1589,1421,21303
"Bobby Terrell","16023","US","Mid-South",411,34,5,6,108,184,26258,2673,2.45,"A 4.57",5030,1812,2698,44333
"Matthew Largen","58532","US","Virginias",731,65,7,8,110,289,41477,4556,2.92,"A 4.56",5030,1373,4920,80338
"Andrew Faryniarz","251691","US","New England",485,63,7,8,104,228,25070,3651,2.26,"A 4.35",5025,1283,3555,50552
"Bill Ahrens","268758","US","Pennsylvania",481,95,4,5,91,200,12302,2461,2.52,"B 3.56",5025,1531,2259,43563
"Matthew McKinney","97392","US","Illinois",120,43,4,5,103,68,3352,1394,2.13,"A 3.27",5024,1350,689,12300
"Tyler Dean Hudson","28783","US","Mid-South",55,41,3,2,167,50,2488,1318,1.02,"D 4.99",5024,1381,466,9191
"William Green","66276","US","New York",648,12,17,12,110,102,67429,459,3.79,"A 4.99",5017,1601,1761,71007
"Mark Maffet","78602","US","New Jersey",1268,231,3,7,110,667,68304,13402,1.65,"A 4.99",5017,1402,11657,139649
"Jesse Murphy","88471","US","Ohio",796,76,6,8,92,304,57126,7701,3.96,"A 4.49",5015,1832,5337,73161
"Chad Hubbell","43435","US","Pennsylvania",96,51,1,3,121,71,4703,2817,1.33,"B 4.99",5013,1442,478,11643
"Rob Larkin","18376","CA","Canada",199,47,4,4,99,126,6923,1772,2.26,"A 3.28",5013,1242,596,19786
"Jonathan D Goke","117411","US","International Club",453,163,5,7,113,261,21671,7680,2.99,"A 4.81",5012,1390,4259,51345
