DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Logan Kress","97243","US","New England",2726,352,7,8,106,1216,104758,13621,3.84,"A 2.84",6229,1347,15889,289256
"Mark Lambert","44343","US","Indiana",288,128,3,4,121,200,16969,8279,1.63,"A 4.99",6225,1602,2209,34764
"Andre Fiorini","198464","CA","Canada",904,263,5,5,83,475,37706,11080,3.03,"A 4.55",6209,1419,4745,75079
"Kenneth OKeefe","24386","CA","Canada",1686,682,3,5,138,1079,79842,34585,2.22,"A 3.26",6208,1520,14190,232028
"Bruno Barbugli","136452","BR","Brazil",1058,291,4,7,112,591,42190,15066,2.57,"A 4.15",6194,1510,8579,118213
"Jeffrey Rietveld","26407","NL","Benelux",272,155,2,3,122,204,10731,6503,1.29,"A 4.99",6193,1380,335,33182
"Jacob Nottestad","172758","US","Midwest",1532,414,6,7,99,786,71825,17949,3.99,"C 1.93",6184,1279,9020,151321
"Josh Weinrich","33240","US","Great Plains",703,304,4,5,119,469,34037,16991,2.31,"A 2.63",6171,1374,7426,83620
"Patrick Mallet","131319","CA","Canada",1465,126,7,9,101,598,71578,5511,2.67,"A 4.99",6165,1253,10626,147997
"Cody Kelley","82661","US","Carolina",672,215,5,5,104,400,28818,9504,2.15,"A 3.13",6161,1266,4094,69906
"Brodie Kostecki","38948","US","Australia/NZ",1212,453,6,6,104,684,56243,24662,2.85,"A 3.37",6160,1477,7787,125567
"Thomas Davis","64459","US","Mid-South",1430,376,8,8,105,737,91812,21584,3.3,"A 4.99",6160,1563,10562,149908
"Robbie Vrabel Jr","150878","CA","Canada",675,63,11,9,114,238,51778,4922,3.14,"A 4.57",6157,1308,4037,77175
"Trey Jarrell","38138","US","Virginias",408,122,4,6,118,221,23805,7562,2.44,"A 4.99",6151,1474,2632,48140
