DRIVER,CUSTID,LOCATION,CLUB_NAME,STARTS,WINS,AVG_START_POS,AVG_FINISH_POS,AVG_POINTS,TOP25PCNT,LAPS,LAPSLEAD,AVG_INC,CLASS,IRATING,TTRATING,TOT_CLUBPOINTS,CHAMPPOINTS
"Samuli Takala","16176","FI","Scandinavia",9,2,4,4,100,4,248,36,2.67,"A 4.54",2747,1786,52,904
"Igor Schimpf","18974","DE","DE-AT-CH",60,15,4,5,76,28,1123,361,6.7,"B 3.54",2747,1831,324,4534
"Chris Thomas","142522","AU","Australia/NZ",110,23,8,7,67,48,1760,351,5.04,"A 2.58",2747,1350,721,7362
"Brecht Koninckx","173352","BE","Benelux",306,11,8,8,62,55,4100,154,4.78,"B 4.48",2747,1937,691,18953
"Dennis Griffen","15125","US","Indiana",135,9,6,6,88,29,3768,154,1.39,"A 4.99",2746,1769,503,11924
"Selcuk Koc","175731","DE","DE-AT-CH",227,8,8,8,75,63,2913,109,4.82,"B 4.39",2746,1538,854,17102
"Shane Norton","156428","US","Mid-South",192,18,6,6,55,36,3671,88,4.6,"A 1.87",2746,1350,674,10585
"Frederik Rind","214456","DE","DE-AT-CH",130,5,12,11,65,30,2002,47,6.43,"A 1.31",2746,1350,697,8410
"Paul Moore3","225168","GB","UK and I",83,3,5,6,67,16,1130,53,3.78,"A 4.28",2745,1733,136,5588
"Sheldon Rosenbaum","201861","US","Texas",561,42,8,8,50,117,10766,711,4.82,"A 3.26",2745,1084,1653,27882
"Eduardo Pulido","203538","ES","Iberia",169,7,6,7,59,36,2369,94,5.41,"A 3.63",2745,1923,320,10040
"Kevin Oxigen","248318","FR","France",221,8,8,8,66,76,3571,125,5.9,"C 2.41",2745,1319,1132,14561
"Brett Webber","26278","US","California Club",309,9,7,8,59,53,7864,285,2.63,"A 4.32",2745,1790,981,18137
"Jakob Lehmann","48718","DE","DE-AT-CH",367,20,8,7,70,76,8087,407,4,"A 4.99",2745,1530,1294,25855
"William Nowell","42535","US","Virginias",583,53,6,7,66,157,10675,1073,5.58,"B 2.97",2745,1788,2124,38556
"Gergo Panker","55776","HU","Central-Eastern Europe",105,9,6,6,69,27,2260,68,3.7,"A 2.49",2745,1449,317,7291
"SJ Schletti","15103","US","Texas",8,1,6,7,53,1,150,13,5.25,"A 3.44",2745,1525,8,420
"Michael Funder","62551","DE","DE-AT-CH",73,4,7,8,67,29,1610,56,6.55,"A 3.03",2744,1331,457,4857
